,state_district,post,phase2,pct_rural,pct_urban,count,hw70_mean,hw71_mean,hw72_mean,stunting_pct,underweight_pct,wasting_pct,scst,state,district,matched_census_district,merge_state,merge_district,Literate_Prop,SCST_Prop,Population
17,andhra pradesh - krishna,0,0,49.61832061068702,50.38167938931297,31,-78.38709677419355,-146.5483870967742,-150.90322580645162,22.58064516129032,35.483870967741936,38.70967741935484,1,andhra pradesh,krishna,krishna,andhra pradesh,krishna,0.6662503503122815,0.2221471298300482,4517398.0
18,andhra pradesh - krishna,1,0,62.5,37.5,92,-99.45652173913044,-108.70652173913044,-73.25,27.173913043478255,19.565217391304348,15.217391304347828,0,andhra pradesh,krishna,krishna,andhra pradesh,krishna,0.6662503503122815,0.2221471298300482,4517398.0
19,andhra pradesh - krishna,1,0,62.5,37.5,28,-121.21428571428572,-109.25,-54.21428571428572,42.85714285714285,25.0,7.142857142857142,1,andhra pradesh,krishna,krishna,andhra pradesh,krishna,0.6662503503122815,0.2221471298300482,4517398.0
20,andhra pradesh - kurnool,0,0,82.42677824267783,17.573221757322173,179,-171.4413407821229,-174.70391061452514,-113.46368715083798,45.2513966480447,39.10614525139665,22.3463687150838,0,andhra pradesh,kurnool,kurnool,andhra pradesh,kurnool,0.5247762222080231,0.20248760134235838,4053463.0
21,andhra pradesh - kurnool,0,0,82.42677824267783,17.573221757322173,60,-199.28333333333333,-169.36666666666667,-78.58333333333333,50.0,36.66666666666666,6.666666666666667,1,andhra pradesh,kurnool,kurnool,andhra pradesh,kurnool,0.5247762222080231,0.20248760134235838,4053463.0
22,andhra pradesh - kurnool,1,0,84.91620111731844,15.083798882681563,139,-204.3453237410072,-202.9568345323741,-118.40287769784172,53.23741007194245,50.35971223021583,17.26618705035971,0,andhra pradesh,kurnool,kurnool,andhra pradesh,kurnool,0.5247762222080231,0.20248760134235838,4053463.0
23,andhra pradesh - kurnool,1,0,84.91620111731844,15.083798882681563,40,-210.475,-196.175,-110.45,50.0,45.0,10.0,1,andhra pradesh,kurnool,kurnool,andhra pradesh,kurnool,0.5247762222080231,0.20248760134235838,4053463.0
24,andhra pradesh - prakasam,0,0,90.81632653061224,9.183673469387756,120,-120.6,-131.425,-88.98333333333333,30.833333333333336,30.0,15.0,0,andhra pradesh,prakasam,prakasam,andhra pradesh,prakasam,0.5605486824228068,0.27638568713928807,3397448.0
25,andhra pradesh - prakasam,0,0,90.81632653061224,9.183673469387756,76,-118.63157894736842,-153.52631578947367,-125.80263157894736,21.052631578947366,31.57894736842105,18.421052631578945,1,andhra pradesh,prakasam,prakasam,andhra pradesh,prakasam,0.5605486824228068,0.27638568713928807,3397448.0
26,andhra pradesh - prakasam,1,0,78.15126050420169,21.84873949579832,97,-127.5360824742268,-117.54639175257732,-64.21649484536083,24.742268041237114,24.742268041237114,7.216494845360824,0,andhra pradesh,prakasam,prakasam,andhra pradesh,prakasam,0.5605486824228068,0.27638568713928807,3397448.0
27,andhra pradesh - prakasam,1,0,78.15126050420169,21.84873949579832,22,-99.27272727272728,-112.13636363636364,-83.18181818181819,18.181818181818183,22.727272727272727,13.636363636363637,1,andhra pradesh,prakasam,prakasam,andhra pradesh,prakasam,0.5605486824228068,0.27638568713928807,3397448.0
28,andhra pradesh - sri potti sriramulu nellore,0,0,76.21951219512195,23.78048780487805,101,-119.43564356435644,-107.16831683168316,-54.04950495049505,36.63366336633664,21.782178217821784,8.91089108910891,0,andhra pradesh,sri potti sriramulu nellore,sri potti sriramulu nellore,andhra pradesh,sri potti sriramulu nellore,0.6182398381404508,0.3214329942025748,2963557.0
29,andhra pradesh - sri potti sriramulu nellore,0,0,76.21951219512195,23.78048780487805,63,-109.52380952380952,-147.74603174603175,-120.84126984126983,20.634920634920636,31.746031746031743,22.22222222222222,1,andhra pradesh,sri potti sriramulu nellore,sri potti sriramulu nellore,andhra pradesh,sri potti sriramulu nellore,0.6182398381404508,0.3214329942025748,2963557.0
30,andhra pradesh - sri potti sriramulu nellore,1,0,79.45945945945945,20.54054054054054,94,-87.72340425531915,-117.05319148936172,-93.2872340425532,19.148936170212767,20.212765957446805,15.95744680851064,0,andhra pradesh,sri potti sriramulu nellore,sri potti sriramulu nellore,andhra pradesh,sri potti sriramulu nellore,0.6182398381404508,0.3214329942025748,2963557.0
31,andhra pradesh - sri potti sriramulu nellore,1,0,79.45945945945945,20.54054054054054,91,-167.06593406593407,-172.24175824175825,-105.28571428571428,36.26373626373626,37.362637362637365,18.68131868131868,1,andhra pradesh,sri potti sriramulu nellore,sri potti sriramulu nellore,andhra pradesh,sri potti sriramulu nellore,0.6182398381404508,0.3214329942025748,2963557.0
32,andhra pradesh - srikakulam,0,0,90.64039408866996,9.35960591133005,171,-125.92397660818712,-139.74269005847952,-99.46783625730994,26.31578947368421,25.730994152046783,13.450292397660816,0,andhra pradesh,srikakulam,srikakulam,andhra pradesh,srikakulam,0.5532067829917643,0.1560355945032285,2703114.0
33,andhra pradesh - srikakulam,0,0,90.64039408866996,9.35960591133005,32,-193.375,-194.65625,-118.5625,43.75,46.875,18.75,1,andhra pradesh,srikakulam,srikakulam,andhra pradesh,srikakulam,0.5532067829917643,0.1560355945032285,2703114.0
34,andhra pradesh - srikakulam,1,0,72.3076923076923,27.692307692307693,117,-103.76923076923076,-110.7008547008547,-75.80341880341881,21.36752136752137,17.94871794871795,19.65811965811966,0,andhra pradesh,srikakulam,srikakulam,andhra pradesh,srikakulam,0.5532067829917643,0.1560355945032285,2703114.0
